Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
50,,2024-02-04,29-288,MIA,,LAC,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,46,2024-02-06,29-290,MIA,,ORL,W (+26),0,21:37,4,7,.571,1,4,.250,0,0,,0,1,1,1,0,1,0,2,9,6.6,+10
52,47,2024-02-07,29-291,MIA,,SAS,W (+12),0,18:59,1,6,.167,1,6,.167,3,3,1.000,0,2,2,2,1,0,2,2,6,2.4,-4
53,48,2024-02-11,29-295,MIA,,BOS,L (-4),0,32:48,5,11,.455,3,8,.375,2,2,1.000,0,2,2,1,0,0,1,5,15,7.6,-4
54,49,2024-02-13,29-297,MIA,@,MIL,W (+26),1,26:18,8,12,.667,6,8,.750,1,1,1.000,0,3,3,5,2,1,0,1,23,24.5,+24
55,50,2024-02-14,29-298,MIA,@,PHI,W (+5),1,32:44,7,11,.636,5,7,.714,1,1,1.000,0,1,1,4,1,0,2,4,20,15.6,+14
56,51,2024-02-23,29-307,MIA,@,NOP,W (+11),0,30:42,6,14,.429,5,11,.455,0,0,,0,0,0,2,0,2,3,1,17,9.0,+4
57,52,2024-02-26,29-310,MIA,@,SAC,W (+11),1,38:36,1,11,.091,0,6,.000,2,3,.667,1,3,4,11,0,0,2,3,4,2.4,+25
58,53,2024-02-27,29-311,MIA,@,POR,W (+10),1,34:14,5,8,.625,4,6,.667,3,3,1.000,0,3,3,3,2,0,2,3,17,15.2,+7
59,54,2024-02-29,29-313,MIA,@,DEN,L (-6),1,35:58,5,9,.556,2,6,.333,0,0,,0,3,3,3,3,0,1,4,12,11.1,+5
60,55,2024-03-02,29-315,MIA,,UTA,W (+6),1,34:08,5,13,.385,2,9,.222,0,0,,0,5,5,6,1,1,1,2,12,10.5,+3
61,56,2024-03-05,29-318,MIA,,DET,W (+8),1,36:17,6,11,.545,4,9,.444,2,2,1.000,0,3,3,4,1,1,0,3,18,16.9,+9
62,57,2024-03-07,29-320,MIA,@,DAL,L (-6),1,30:08,7,10,.700,5,8,.625,0,0,,0,4,4,2,0,0,1,4,19,14.8,-11
63,58,2024-03-08,29-321,MIA,@,OKC,L (-7),1,28:01,3,8,.375,3,8,.375,0,0,,0,2,2,1,1,0,1,1,9,5.5,-8
64,59,2024-03-10,29-323,MIA,,WAS,L (-2),1,33:33,5,16,.313,4,13,.308,2,2,1.000,1,1,2,1,0,0,5,3,16,2.3,-11
