Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
47,37,2024-01-29,30-136,MIA,,PHO,L (-13),0,23:54,4,8,.500,2,4,.500,2,2,1.000,1,3,4,2,2,0,1,1,12,11.6,+7
48,38,2024-01-31,30-138,MIA,,SAC,W (+9),0,27:17,9,15,.600,6,10,.600,0,0,,0,5,5,3,0,1,0,2,24,20.6,+5
49,39,2024-02-02,30-140,MIA,@,WAS,W (+8),0,24:44,3,8,.375,1,6,.167,0,0,,0,4,4,2,0,0,1,2,7,3.4,-6
50,40,2024-02-04,30-142,MIA,,LAC,L (-8),1,33:11,6,13,.462,2,8,.250,0,0,,0,3,3,4,0,0,0,2,14,10.2,-8
51,41,2024-02-06,30-144,MIA,,ORL,W (+26),0,27:16,5,7,.714,3,3,1.000,0,0,,2,3,5,1,2,0,0,4,13,13.5,+16
52,42,2024-02-07,30-145,MIA,,SAS,W (+12),0,26:28,2,6,.333,1,4,.250,4,4,1.000,0,4,4,0,0,0,0,2,9,6.0,-3
53,43,2024-02-11,30-149,MIA,,BOS,L (-4),0,7:09,1,3,.333,0,2,.000,0,0,,0,0,0,2,0,0,0,0,2,1.7,-6
54,,2024-02-13,30-151,MIA,@,MIL,W (+26),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,,2024-02-14,30-152,MIA,@,PHI,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,,2024-02-23,30-161,MIA,@,NOP,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,,2024-02-26,30-164,MIA,@,SAC,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,,2024-02-27,30-165,MIA,@,POR,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
59,,2024-02-29,30-167,MIA,@,DEN,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
60,,2024-03-02,30-169,MIA,,UTA,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
61,,2024-03-05,30-172,MIA,,DET,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
62,,2024-03-07,30-174,MIA,@,DAL,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
63,,2024-03-08,30-175,MIA,@,OKC,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,,2024-03-10,30-177,MIA,,WAS,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
