Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
46,32,2024-01-27,27-049,MIA,@,NYK,L (-16),1,21:03,3,5,.600,2,4,.500,0,0,,1,3,4,2,0,2,0,2,8,9.3,+4
47,33,2024-01-29,27-051,MIA,,PHO,L (-13),1,15:19,1,3,.333,0,2,.000,1,1,1.000,0,2,2,0,0,0,0,3,3,0.7,-8
48,34,2024-01-31,27-053,MIA,,SAC,W (+9),1,16:20,2,4,.500,0,1,.000,0,0,,1,1,2,1,0,0,1,1,4,2.3,+5
49,35,2024-02-02,27-055,MIA,@,WAS,W (+8),1,15:05,2,6,.333,0,4,.000,0,0,,1,1,2,0,0,0,1,2,4,-0.2,+1
50,36,2024-02-04,27-057,MIA,,LAC,L (-8),1,26:53,2,5,.400,1,3,.333,0,0,,0,3,3,0,1,0,0,5,5,2.2,-3
51,37,2024-02-06,27-059,MIA,,ORL,W (+26),0,3:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
52,,2024-02-07,27-060,MIA,,SAS,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,38,2024-02-11,27-064,MIA,,BOS,L (-4),0,23:10,1,4,.250,0,1,.000,0,0,,3,0,3,0,2,0,0,4,2,2.1,+1
54,39,2024-02-13,27-066,MIA,@,MIL,W (+26),0,22:59,1,4,.250,0,2,.000,0,0,,0,4,4,0,2,1,0,1,2,3.1,+5
55,40,2024-02-14,27-067,MIA,@,PHI,W (+5),0,36:29,5,13,.385,4,10,.400,2,2,1.000,1,1,2,1,2,1,1,1,16,11.9,+6
56,41,2024-02-23,27-076,MIA,@,NOP,W (+11),0,19:25,2,2,1.000,1,1,1.000,0,0,,2,2,4,1,0,1,0,1,5,7.4,+5
57,42,2024-02-26,27-079,MIA,@,SAC,W (+11),0,28:54,6,9,.667,3,5,.600,0,0,,3,1,4,0,3,1,0,3,15,16.0,-2
58,43,2024-02-27,27-080,MIA,@,POR,W (+10),0,5:53,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,1,1,2,2,0.5,+1
59,,2024-02-29,27-082,MIA,@,DEN,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
60,44,2024-03-02,27-084,MIA,,UTA,W (+6),0,18:50,1,5,.200,0,4,.000,0,0,,0,1,1,0,0,1,0,1,2,-0.5,0
61,45,2024-03-05,27-087,MIA,,DET,W (+8),0,11:24,1,2,.500,1,2,.500,0,0,,1,2,3,1,0,1,0,1,3,4.3,+2
62,46,2024-03-07,27-089,MIA,@,DAL,L (-6),0,8:04,1,4,.250,0,2,.000,0,0,,0,2,2,1,0,0,0,0,2,0.9,-4
63,47,2024-03-08,27-090,MIA,@,OKC,L (-7),0,4:52,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-4
