Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
32,22,2023-12-30,26-165,MIA,@,UTA,L (-8),1,36:30,7,13,.538,0,0,,14,20,.700,3,13,16,3,3,3,4,1,28,28.1,-3
33,23,2024-01-01,26-167,MIA,@,LAC,L (-17),1,35:45,6,17,.353,0,2,.000,9,13,.692,3,12,15,4,0,0,3,3,21,14.2,-12
34,24,2024-01-03,26-169,MIA,@,LAL,W (+14),1,38:10,5,14,.357,0,1,.000,5,6,.833,3,4,7,5,3,0,2,4,15,13.0,+12
35,25,2024-01-05,26-171,MIA,@,PHO,L (-16),1,36:07,11,19,.579,0,0,,6,7,.857,2,8,10,1,0,1,1,2,28,22.1,-16
36,26,2024-01-08,26-174,MIA,,HOU,W (+7),1,31:38,9,12,.750,0,0,,4,7,.571,1,11,12,3,1,0,3,4,22,18.5,+12
37,27,2024-01-10,26-176,MIA,,OKC,L (-8),1,36:44,9,16,.563,0,0,,7,7,1.000,5,6,11,6,0,2,1,1,25,26.9,-6
38,28,2024-01-12,26-178,MIA,,ORL,W (+3),1,39:25,8,17,.471,0,0,,5,6,.833,4,7,11,7,0,1,4,3,21,17.2,+17
39,29,2024-01-14,26-180,MIA,,CHO,W (+17),1,35:23,9,17,.529,0,1,.000,6,8,.750,0,10,10,7,0,1,2,3,24,20.3,+5
40,30,2024-01-15,26-181,MIA,@,BRK,W (+1),1,43:49,5,17,.294,0,1,.000,1,2,.500,2,18,20,4,1,1,2,2,11,9.2,-3
41,31,2024-01-17,26-183,MIA,@,TOR,L (-24),1,35:49,7,13,.538,0,0,,2,3,.667,1,4,5,4,1,0,2,3,16,11.8,-23
42,32,2024-01-19,26-185,MIA,,ATL,L (-1),1,38:53,7,15,.467,0,0,,7,8,.875,2,7,9,6,1,0,3,4,21,17.0,+8
43,33,2024-01-21,26-187,MIA,@,ORL,L (-18),1,34:25,8,17,.471,0,1,.000,6,6,1.000,6,5,11,7,2,0,5,3,22,19.7,-15
