Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
66,29,2024-03-15,26-228,MIA,@,DET,W (+13),0,17:10,5,8,.625,0,2,.000,1,1,1.000,1,4,5,0,0,1,0,0,11,10.0,-4
67,30,2024-03-17,26-230,MIA,@,DET,W (+3),0,10:27,0,1,.000,0,0,,2,2,1.000,0,4,4,1,0,0,0,1,2,2.8,-2
68,31,2024-03-18,26-231,MIA,@,PHI,L (-7),0,16:07,4,9,.444,1,1,1.000,2,2,1.000,1,1,2,1,1,1,0,1,11,9.3,+12
69,32,2024-03-20,26-233,MIA,@,CLE,W (+3),1,14:58,2,5,.400,0,2,.000,2,2,1.000,1,9,10,0,0,1,0,4,6,5.8,+6
70,33,2024-03-22,26-235,MIA,,NOP,L (-23),0,10:30,2,2,1.000,2,2,1.000,2,2,1.000,0,3,3,0,0,1,0,1,8,8.6,+1
71,34,2024-03-24,26-237,MIA,,CLE,W (+37),0,20:18,4,6,.667,0,2,.000,6,6,1.000,1,4,5,3,1,0,1,5,14,13.4,+10
72,35,2024-03-26,26-239,MIA,,GSW,L (-21),0,7:49,0,3,.000,0,2,.000,0,0,,0,3,3,0,0,0,1,1,0,-2.6,-12
73,36,2024-03-29,26-242,MIA,,POR,W (+60),0,21:47,11,17,.647,1,3,.333,3,4,.750,6,6,12,1,2,2,0,0,26,28.2,+31
74,37,2024-03-31,26-244,MIA,@,WAS,W (+12),0,10:07,2,3,.667,0,0,,0,0,,0,3,3,0,0,1,2,3,4,1.1,-1
75,,2024-04-02,26-246,MIA,,NYK,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
76,,2024-04-04,26-248,MIA,,PHI,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
77,,2024-04-05,26-249,MIA,@,HOU,W (+15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
78,,2024-04-07,26-251,MIA,@,IND,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
79,,2024-04-09,26-253,MIA,@,ATL,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
80,,2024-04-10,26-254,MIA,,DAL,L (-19),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
81,,2024-04-12,26-256,MIA,,TOR,W (+22),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
82,38,2024-04-14,26-258,MIA,,TOR,W (+15),0,23:23,8,10,.800,0,1,.000,2,2,1.000,3,7,10,1,0,1,2,1,18,17.4,+12
