Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,26,2024-01-17,34-125,MIA,@,TOR,L (-24),1,30:48,6,11,.545,0,0,,4,5,.800,2,3,5,5,2,0,1,0,16,17.1,-8
42,27,2024-01-19,34-127,MIA,,ATL,L (-1),1,36:03,8,10,.800,0,0,,9,10,.900,4,1,5,6,2,0,4,2,25,25.3,0
43,28,2024-01-21,34-129,MIA,@,ORL,L (-18),1,29:05,5,10,.500,3,5,.600,2,2,1.000,0,4,4,2,0,0,0,1,15,12.2,-10
44,29,2024-01-24,34-132,MIA,,MEM,L (-9),1,34:51,4,10,.400,1,2,.500,6,8,.750,3,1,4,3,2,0,4,1,15,10.9,-4
45,30,2024-01-25,34-133,MIA,,BOS,L (-33),1,29:10,7,11,.636,2,3,.667,1,1,1.000,1,2,3,4,2,0,1,1,17,16.8,-24
46,31,2024-01-27,34-135,MIA,@,NYK,L (-16),1,36:02,11,20,.550,1,3,.333,5,6,.833,4,4,8,4,3,0,0,2,28,27.0,-7
47,32,2024-01-29,34-137,MIA,,PHO,L (-13),1,37:18,7,12,.583,2,2,1.000,10,10,1.000,5,3,8,4,1,0,0,1,26,28.2,-17
48,33,2024-01-31,34-139,MIA,,SAC,W (+9),1,34:34,10,14,.714,2,3,.667,9,12,.750,1,6,7,6,1,0,1,2,31,29.9,-1
49,34,2024-02-02,34-141,MIA,@,WAS,W (+8),1,35:31,7,10,.700,1,1,1.000,9,13,.692,4,5,9,3,1,0,2,0,24,23.6,+8
50,35,2024-02-04,34-143,MIA,,LAC,L (-8),1,35:58,8,19,.421,2,5,.400,3,3,1.000,3,1,4,3,2,0,1,1,21,16.0,+1
51,36,2024-02-06,34-145,MIA,,ORL,W (+26),1,34:27,6,9,.667,2,4,.500,9,12,.750,0,8,8,8,3,0,5,0,23,23.9,+11
52,37,2024-02-07,34-146,MIA,,SAS,W (+12),1,33:50,5,12,.417,1,3,.333,6,6,1.000,1,10,11,11,3,1,0,0,17,25.7,+16
53,,2024-02-11,34-150,MIA,,BOS,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,,2024-02-13,34-152,MIA,@,MIL,W (+26),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,,2024-02-14,34-153,MIA,@,PHI,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,38,2024-02-23,34-162,MIA,@,NOP,W (+11),1,27:00,7,12,.583,1,1,1.000,8,12,.667,2,7,9,6,3,1,3,0,23,24.2,+19
57,,2024-02-26,34-165,MIA,@,SAC,W (+11),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
58,39,2024-02-27,34-166,MIA,@,POR,W (+10),1,33:12,7,12,.583,1,2,.500,7,9,.778,1,3,4,9,4,2,1,3,22,26.7,+5
59,40,2024-02-29,34-168,MIA,@,DEN,L (-6),1,40:17,7,17,.412,1,4,.250,6,9,.667,3,4,7,3,1,0,0,1,21,16.7,0
